library_id	biospecimen_id	project	input_1	input_2	assay_hint	condition	treatment	dose	dose_unit	time_h	replicate	cell_line	old_sample_name	old_run	old_biosample	old_bioproject
BEAS_2B_8E_smallrna	BEAS_2B_8E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/8E/8E_short.fq.gz		smallrna	PS_10uM	PS	10	uM	72	E	BEAS_2B	8E_short	8E	biosampletime72	BEAS_2B_short
BEAS_2B_9A_smallrna	BEAS_2B_9A	BEAS_2B	../phdpipe/samples/BEAS_2B_short/9A/9A_short.fq.gz		smallrna	PS_100uM	PS	100	uM	72	A	BEAS_2B	9A_short	9A	biosampletime72	BEAS_2B_short
BEAS_2B_9C_smallrna	BEAS_2B_9C	BEAS_2B	../phdpipe/samples/BEAS_2B_short/9C/9C_short.fq.gz		smallrna	PS_100uM	PS	100	uM	72	C	BEAS_2B	9C_short	9C	biosampletime72	BEAS_2B_short
BEAS_2B_9E_smallrna	BEAS_2B_9E	BEAS_2B	../phdpipe/samples/BEAS_2B_short/9E/9E_short.fq.gz		smallrna	PS_100uM	PS	100	uM	72	E	BEAS_2B	9E_short	9E	biosampletime72	BEAS_2B_short
HEP_G2_1A_H_smallrna	HEP_G2_1A_H	HEP_G2	../phdpipe/samples/HEP_G2_short/1A_H/1A_H_short.fq.gz		smallrna	control	control	0	uM	24	A	HEP_G2	1A_H_short	1A_H	biosampletime24	HEP_G2_short
HEP_G2_1C_H_smallrna	HEP_G2_1C_H	HEP_G2	../phdpipe/samples/HEP_G2_short/1C_H/1C_H_short.fq.gz		smallrna	control	control	0	uM	24	C	HEP_G2	1C_H_short	1C_H	biosampletime24	HEP_G2_short
HEP_G2_1E_H_smallrna	HEP_G2_1E_H	HEP_G2	../phdpipe/samples/HEP_G2_short/1E_H/1E_H_short.fq.gz		smallrna	control	control	0	uM	24	E	HEP_G2	1E_H_short	1E_H	biosampletime24	HEP_G2_short
HEP_G2_2A_H_smallrna	HEP_G2_2A_H	HEP_G2	../phdpipe/samples/HEP_G2_short/2A_H/2A_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	A	HEP_G2	2A_H_short	2A_H	biosampletime24	HEP_G2_short
HEP_G2_2C_H_smallrna	HEP_G2_2C_H	HEP_G2	../phdpipe/samples/HEP_G2_short/2C_H/2C_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	C	HEP_G2	2C_H_short	2C_H	biosampletime24	HEP_G2_short
HEP_G2_2E_H_smallrna	HEP_G2_2E_H	HEP_G2	../phdpipe/samples/HEP_G2_short/2E_H/2E_H_short.fq.gz		smallrna	PS_10uM	PS	10	uM	24	E	HEP_G2	2E_H_short	2E_H	biosampletime24	HEP_G2_short
HEP_G2_3A_H_smallrna	HEP_G2_3A_H	HEP_G2	../phdpipe/samples/HEP_G2_short/3A_H/3A_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	A	HEP_G2	3A_H_short	3A_H	biosampletime24	HEP_G2_short
HEP_G2_3C_H_smallrna	HEP_G2_3C_H	HEP_G2	../phdpipe/samples/HEP_G2_short/3C_H/3C_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	C	HEP_G2	3C_H_short	3C_H	biosampletime24	HEP_G2_short
HEP_G2_3E_H_smallrna	HEP_G2_3E_H	HEP_G2	../phdpipe/samples/HEP_G2_short/3E_H/3E_H_short.fq.gz		smallrna	PS_100uM	PS	100	uM	24	E	HEP_G2	3E_H_short	3E_H	biosampletime24	HEP_G2_short
